Job Title,Company Name,Location,Job Type,Category,Salary,Post Date,Deadline,Job URL,Company Logo URL,Location Clean,Min Salary,Max Salary,Average Salary
Pərakəndə kart biznesi sahəsinə baş məhsul sahibi,ABB,Bakı,Tam-ştat,Marketinq menecment,Razılaşma ilə,24 aprel 2025,24 may 2025,https://www.hellojob.az/vakansiya/perakende-kart-biznesi-sahesine-bas-mehsul-sahibi-3808,https://www.hellojob.az/storage/companies/f5f3fde6d69bd4ae0e41a621906aced2.svg,Bakı,Unknown,Unknown,Unknown
Satış mütəxəssisi,Wraym,"Bakı, N.Nərimanov ray, Əliyar Əliyev küç. 206 (Azinko yaşayış kompleksinin yanı, N.Nərimanov metrosu yaxınlığı)",Tam-ştat,Satış üzrə mütəxəssis,600 - 1500 AZN,31 mart 2025,30 aprel 2025,https://www.hellojob.az/vakansiya/satis-mutexessisi-904962,https://www.hellojob.az/resized/companies/c6aef7ad7fd65e93e947028bdc3f04ac-120--resize.webp,Bakı,600.0,1500.0,1050.0
Kassir,PADISAH RESTORAN,"Bakı, GƏNCLİK MS",Tam-ştat,Restoran işi,700 - 750 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/kassir-1084308,Unknown,Bakı,700.0,750.0,725.0
Barista,PADISAH RESTORAN,"Bakı, GƏNCLİK MS",Tam-ştat,Restoran işi,600 - 750 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/barista-1083919,Unknown,Bakı,600.0,750.0,675.0
Ofisiant,PADISAH RESTORAN,"Bakı, Elmlər(m.s)",Tam-ştat,Restoran işi,500 - 600 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/ofisiant-1083918,Unknown,Bakı,500.0,600.0,550.0
Qrafik Dizayner,N-ADVERT  MMC,Bakı,Tam-ştat,Qrafik dizayn,600 - 900 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/qrafik-dizayner-1081366,Unknown,Bakı,600.0,900.0,750.0
Operation Manager,Caspian Charm,"Bakı, Yusifbey Ibrahimli 16",Tam-ştat,Turizm və mehmanxana işi,Razılaşma ilə,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/operation-manager-1081566,https://www.hellojob.az/resized/companies/1cc254fefb15925f3fa76d6883969367-120--resize.webp,Bakı,Unknown,Unknown,Unknown
Sosial Media Marketinq (SMM) mütəxəssisi,Wutto fashion,"Bakı, Sədərək Ticarət mərkəzi",Tam-ştat,Satış üzrə mütəxəssis,600 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/sosial-media-marketinq-smm-mutexessisi-1081567,https://www.hellojob.az/resized/companies/9fd209fafad41d0a3d6f81833ca3c111-120--resize.webp,Bakı,600.0,600.0,600.0
Reklam ustası,N-ADVERT  MMC,Bakı,Tam-ştat,Digər,600 - 1000 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/reklam-ustasi-1081568,Unknown,Bakı,600.0,1000.0,800.0
Anbardar,AGROVITA MMC,"Bakı, Xəzər rayonu, Binə qəsəbəsi",Tam-ştat,Digər,500 AZN,23 aprel 2025,23 may 2025,https://www.hellojob.az/vakansiya/anbardar-1081966,https://www.hellojob.az/resized/companies/02cb8fd277ae525b92759b046418a5d5-120--resize.webp,Bakı,500.0,500.0,500.0
